epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,5598.52,0.3684,0.37019,1.04343,0.83696,0.70595,0.73364,0.5626,0.82261,0.86813,1.51654,0.00013625,0.00013625,0.00013625
137,5638.01,0.39225,0.40091,1.06262,0.83997,0.69221,0.73551,0.55786,0.83412,0.88298,1.53671,0.000128,0.000128,0.000128
138,5678.79,0.38567,0.3828,1.0595,0.77594,0.74211,0.73213,0.55866,0.84771,0.90468,1.56976,0.00011975,0.00011975,0.00011975
139,5719.22,0.39664,0.38401,1.05015,0.76434,0.69281,0.71742,0.54695,0.87388,0.90166,1.59968,0.0001115,0.0001115,0.0001115
140,5758.71,0.38223,0.3796,1.04858,0.75822,0.68711,0.71469,0.55102,0.86132,0.90215,1.58009,0.00010325,0.00010325,0.00010325
141,5798.59,0.34982,0.64948,1.11134,0.74268,0.70738,0.73114,0.54107,0.91058,0.90479,1.63645,9.5e-05,9.5e-05,9.5e-05
142,5838.3,0.35657,0.602,1.10296,0.76111,0.72049,0.73551,0.54447,0.89515,0.97373,1.64592,8.675e-05,8.675e-05,8.675e-05
143,5877.49,0.28427,0.41307,1.04511,0.79586,0.70804,0.72076,0.53388,0.88825,1.00951,1.68003,7.85e-05,7.85e-05,7.85e-05
144,5918.01,0.28107,0.40281,1.07817,0.76889,0.71875,0.71031,0.53002,0.92377,0.96327,1.74851,7.025e-05,7.025e-05,7.025e-05
145,5959.2,0.24196,0.31416,1.03183,0.80763,0.69792,0.71215,0.53126,0.91973,0.93371,1.73973,6.2e-05,6.2e-05,6.2e-05
146,5999.83,0.26701,0.34763,1.03181,0.80787,0.68915,0.71052,0.53449,0.90829,0.91269,1.69285,5.375e-05,5.375e-05,5.375e-05
147,6040.83,0.28109,0.32921,1.05976,0.79822,0.69677,0.7099,0.53632,0.89286,0.90672,1.64319,4.55e-05,4.55e-05,4.55e-05
148,6080.51,0.26786,0.32937,1.02363,0.77679,0.71875,0.71371,0.54183,0.88044,0.89256,1.63297,3.725e-05,3.725e-05,3.725e-05
149,6120.39,0.27074,0.36845,1.05351,0.73573,0.72917,0.71203,0.53917,0.87547,0.88358,1.63548,2.9e-05,2.9e-05,2.9e-05
150,6160.04,0.24703,0.29904,1.01832,0.74219,0.72806,0.71272,0.5455,0.88164,0.86274,1.63961,2.075e-05,2.075e-05,2.075e-05
